default,limit_bal,sex.1,sex.2,education.1,education.3,education.2,education.4,marriage.1,marriage.2,marriage.3,age,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,bill_amt_sum,pay_amt_sum,balance_amt1,balance_amt2,balance_amt3,balance_amt4,balance_amt5,balance_amt6
Neg,-1.0656534580298653,-0.8107250527522716,0.8107250527522716,1.3510841046646531,-0.45281264261052856,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-0.9163491952108359,-0.5838801019881736,-0.5346379129034315,-0.47555235115453587,-0.48397838811774513,-0.43094855236111373,-0.4194837003044868,-0.20109473371608755,-0.1355184250632588,-0.32256299103065267,-0.20750634976825422,-0.3061685025338236,-0.24543610977317246,-0.5184849793863419,-0.3926554999059164,0.5421682034540416,0.4487500629095452,0.40064078453852603,0.4447292962616395,0.3448051443881441,0.3374455970015321
Pos,0.8787735474680316,1.2332625442525298,-1.2332625442525298,1.3510841046646531,-0.45281264261052856,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-0.26606310287808266,-0.7163093078694813,-0.7037105531807133,-0.6697268165001377,-0.6843835717166578,-0.6799831384630731,-6.291024863384641,-0.30043686622966026,-0.19134830751552764,-0.27002051876605204,-0.3327179255140163,-0.3061685025338236,18.481046536815715,-1.6153356449816072,4.893755618574442,0.6532029801826222,0.5854941369770047,0.6079017899009269,0.6206771270178341,0.5923688898733082,11.659076084317707
Neg,0.7232193870281999,-0.8107250527522716,0.8107250527522716,1.3510841046646531,-0.45281264261052856,-0.9218710460039296,-0.1294310971882709,1.0700796251287727,-1.0475480235753665,-0.10352414434917903,-0.4828251336556671,2.884794894691452,2.91752184734021,2.92693835492916,3.3515089998027348,3.618722661241029,3.707146179933151,0.2015447584253779,0.11449945450358806,0.2377925288781229,0.3594217639367366,0.28732711736103966,0.20432407996244079,3.3830176054575314,0.3753555205428979,-2.8546117629190704,-2.6977841858774805,-2.880099549874654,-3.304754884873428,-3.518896286277768,-3.5671021160934555
Neg,0.8009964672481158,-0.8107250527522716,0.8107250527522716,1.3510841046646531,-0.45281264261052856,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,0.059079943288293954,-0.681228723530062,-0.6622718726618138,-0.5388671063362855,-0.5352369097783091,-0.5784208193632684,-0.6630832241859124,-0.11843364592545558,0.12416552370427938,0.2936701023889176,0.13329339579886776,-0.27651151573116206,-0.2475573635402167,-0.64371360961220625,-0.009255946181559897,0.6583677086957973,0.6722005008347307,0.610231811909819,0.5675961487950246,0.4995041432677913,0.5752086306779783
Pos,1.5009901892273587,1.2332625442525298,-1.2332625442525298,-0.7400256118731395,-0.45281264261052856,1.0845734287681175,-0.1294310971882709,1.0700796251287727,-1.0475480235753665,-0.10352414434917903,1.684795174120177,-0.6799543116771066,-0.6691194910780545,-0.6396039231505672,-0.6692119162568714,-0.6648807531878856,-0.6609982068631042,-0.3561230303976929,-0.2021809712749231,-0.32256299103065267,-0.3570127088676716,-0.3061685025338236,-0.2657783894879045,-0.7000675409768157,-0.4994592173763827,0.604296444315196,0.5486528937209658,0.5652263272737784,0.6003033986117263,0.5773557018538952,0.5677431110944855
Neg,-0.59899097671037,1.2332625442525298,-1.2332625442525298,1.3510841046646531,-0.45281264261052856,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-0.26606310287808266,-0.7217906491725156,-0.7093580735240046,-0.6673352329528794,-0.6905760841492237,-0.6285503118031304,-0.6251392184621091,-0.32524139369871713,-0.18558199726821867,-0.29342473803758906,-0.09672213767558592,-0.3061685025338236,-0.27355631996706675,-0.7128816821051818,-0.4243672234085672,0.6532029801826222,0.5931013558547381,0.59995475054917,0.6762091974703437,0.5412398342343795,0.530334542248784
Neg,0.2565569057087046,1.2332625442525298,-1.2332625442525298,-0.7400256118731395,2.2080585813203726,-0.9218710460039296,-0.1294310971882709,1.0700796251287727,-1.0475480235753665,-0.10352414434917903,-0.6995871644332515,-0.5168158911455495,-0.05817074034080717,-0.35716205347407637,-0.569249284314177,-0.6694587146359199,-0.6005658000147266,2.541169800625493,0.5639383410626286,0.16576604406996767,-0.28442737152490444,-0.05135567192535542,0.8841043256167755,-0.47627584812254553,1.1235874993362127,1.0838173846971102,0.2793201723028542,0.39761730359841607,0.5146556790439816,0.6514823054837261,0.8509632238834359
Neg,-0.7545451371502019,1.2332625442525298,-1.2332625442525298,-0.7400256118731395,-0.45281264261052856,1.0845734287681175,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-0.5912061490444592,0.21236694239709822,0.2119219200770968,0.2641519982483163,0.37241511874395056,0.42685715626288656,0.3505826975860112,-0.2105824654730018,-0.09612086025216522,-0.13860582755637155,-0.162654442038429,-0.166187524825261,-0.2291187731036013,0.31710075071720306,-0.2771664059347241,-0.26021024574347507,-0.23755915154844667,-0.2978665276986232,-0.4095309879723846,-0.4697129408980888,-0.4113087705958095
Neg,-0.676768056930286,1.2332625442525298,-1.2332625442525298,-0.7400256118731395,2.2080585813203726,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-1.024730210599628,0.25338107869705206,0.2711785272790802,0.3592070761150654,0.47414261672992625,0.5267740159098392,0.6547470103680562,-0.3561230303976929,-0.002193332639930254,-0.1587334561298934,-0.3570127088676716,0.10902931270343834,-0.2993921030272211,0.43536961541198216,-0.26357122804897226,-0.3337559797710886,-0.2558669261250512,-0.3980019973664855,-0.5527091207022036,-0.49389275720119946,-0.7298969848388778
Neg,0.02322566504895697,-0.8107250527522716,0.8107250527522716,1.3510841046646531,-0.45281264261052856,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,0.059079943288293954,-0.725216487486912,-0.7046423940373564,-0.6684688159059151,-0.6626168905161888,-0.6800157218185752,-0.6894272525820287,-0.2683150031572316,-0.2021809712749231,-0.18775468802659934,-0.3570127088676716,-0.3061685025338236,-0.2998272320050763,-0.7265968993881182,-0.45138666837236424,0.6692893879249916,0.5820556209397744,0.6261397597919572,0.5936526642814567,0.5924012807859714,0.5854271618215445
Pos,-0.9100992975900336,1.2332625442525298,-1.2332625442525298,-0.7400256118731395,-0.45281264261052856,1.0845734287681175,-0.1294310971882709,1.0700796251287727,-1.0475480235753665,-0.10352414434917903,-0.8079681798220437,-0.3415088929212562,-0.44383990458416656,-0.5948412206880115,-0.6982857621277682,-1.1818645632607285,-0.6703973325722713,-0.2819574932652129,-0.1355184250632588,-0.32209490664522195,-0.3570127088676716,2.0698306521482106,2.3742035102820145,-0.6746252366473348,0.9268536223197675,0.28061257893748554,0.3633713114214062,0.5204288803171032,0.6296228330536192,1.740043707357324,1.3629585973144756
Neg,-1.0656534580298653,-0.8107250527522716,0.8107250527522716,-0.7400256118731395,-0.45281264261052856,-0.9218710460039296,7.724857958919771,1.0700796251287727,-1.0475480235753665,-0.10352414434917903,0.059079943288293954,-0.6074909796509936,-0.7163892363514022,-0.6141950759837428,-0.6876036781815921,-0.6852779337321518,-0.6697188745545322,-0.3561230303976929,-0.05745658344939994,-0.2821907127872513,-0.3570127088676716,-0.30029641914689664,-0.2998272320050763,-0.6979432015542676,-0.42946347294745474,0.5314668859747428,0.650746284942205,0.5493045102130159,0.6188505168848726,0.5992357633579156,0.5661398867153841
Pos,0.4121110661485364,-0.8107250527522716,0.8107250527522716,-0.7400256118731395,-0.45281264261052856,-0.9218710460039296,7.724857958919771,1.0700796251287727,-1.0475480235753665,-0.10352414434917903,0.16746095867708616,1.8746933193682984,1.9614531284244345,1.6989638847797142,1.8916396751064146,2.117574889907342,2.018728937884819,0.6056725222149867,-0.2021809712749231,-7.549760470183725e-4,0.18494784286771646,0.07937232590077677,-0.10945830419341274,2.0242523913288792,0.08527326782634191,-1.7496490858963345,-1.924914644922417,-1.7046727922817182,-1.8689924842085275,-2.0833958188681776,-2.008185028923491
Neg,0.48988814636845224,-0.8107250527522716,0.8107250527522716,-0.7400256118731395,-0.45281264261052856,1.0845734287681175,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,0.27584197406587835,-0.588333691796889,-0.6769271879526546,-0.6555570295871915,-0.6925422068465633,-0.636728734034138,-0.6713571024510243,-0.18280139470765813,-0.1571837525820497,-0.30085557765630205,-0.13424823380953968,-0.3061685025338236,-0.17945967850587302,-0.6880863714099418,-0.35833350224920124,0.5507072212624912,0.5739173571142062,0.5863768246759239,0.6703546778134162,0.5493699533128534,0.6035808439323807
Neg,-0.5212138964904542,-0.8107250527522716,0.8107250527522716,-0.7400256118731395,-0.45281264261052856,1.0845734287681175,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-0.26606310287808266,0.10850922805785657,0.4309327589899314,0.14292774318526758,0.386208940187491,0.6939592129907176,0.2825879660033213,1.5048366429682978,0.13269832961937242,0.8476479725461994,0.9137913434773762,-0.009598634507207932,0.24408399031396252,0.3494268577624129,0.9211358789346742,0.22516405362003758,-0.35235779314663324,0.05753117455054186,-0.19862777185122826,-0.6924814427395406,-0.20387744663711177
Neg,0.48988814636845224,-0.8107250527522716,0.8107250527522716,-0.7400256118731395,-0.45281264261052856,1.0845734287681175,-0.1294310971882709,1.0700796251287727,-1.0475480235753665,-0.10352414434917903,-0.8079681798220437,0.005090021022857662,0.40162212840824985,0.016768255021807378,-0.14829777042943124,-0.2854801617223334,-0.4059641832192939,1.8762844418174243,-0.1614501555395962,0.11685122579245526,-0.32030889770876464,0.08530372326130908,-0.2998272320050763,-0.05659177090914582,0.29600629372857273,0.4116038666409748,-0.4419583519700589,0.010875257658202688,0.08265457657240587,0.30708592659179795,0.308020761680043
Neg,-0.9100992975900336,1.2332625442525298,-1.2332625442525298,-0.7400256118731395,2.2080585813203726,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-0.8079681798220437,-0.05765763354362703,-0.005069930313011206,0.020956982275097805,-0.38237474038042074,-0.3560882930952166,-0.3455317763709163,-0.20109473371608755,-0.15908363514908214,-0.27347264110860375,-0.29197744265942505,-0.2504133673448199,-0.2527789112744795,-0.18463626411804238,-0.3956542077138594,0.013286231095541856,-0.058597004128121084,-0.08584839406806764,0.3246257770063241,0.285610751496068,0.26288756628048876
Neg,0.5676652265883682,-0.8107250527522716,0.8107250527522716,1.3510841046646531,-0.45281264261052856,-0.9218710460039296,-0.1294310971882709,-0.9343574232863399,0.9544544199835425,-0.10352414434917903,-0.15768208748929047,-0.6605092534045925,-0.7163892363514022,-0.6742196757652181,-0.6982857621277682,-0.6852779337321518,-0.6713571024510243,-0.3561230303976929,-0.2021809712749231,-0.32256299103065267,-0.3570127088676716,-0.3061685025338236,-0.2998272320050763,-0.7215178683889559,-0.5091855960695034,0.5847531116213415,0.5931013558547381,0.59995475054917,0.6296228330536192,0.5976324131810851,0.5677431110944855
